date,district,temperature_c,rainfall_mm,humidity_pct,wind_speed_kmh,pressure_hpa
2020-03-19,Kaski,19.9,0.0,59.4,9.7,908.8
2020-03-20,Kaski,16.7,0.0,53.5,6.0,911.5
2020-03-21,Kaski,23.1,8.0,64.6,2.3,915.5
2020-03-22,Kaski,20.1,0.0,56.1,1.9,910.9
2020-03-23,Kaski,22.0,6.3,63.6,2.7,909.1
2020-03-24,Kaski,19.2,6.4,53.4,4.2,911.0
2020-03-25,Kaski,20.5,4.1,57.6,10.3,912.6
2020-03-26,Kaski,19.2,9.8,62.5,11.4,912.7
2020-03-27,Kaski,23.6,6.9,63.6,3.1,913.4
2020-03-28,Kaski,21.9,8.9,59.0,3.1,916.9
2020-03-29,Kaski,22.1,11.0,51.3,6.6,917.5
2020-03-30,Kaski,24.2,11.2,58.6,6.5,919.8
2020-03-31,Kaski,24.0,12.5,64.7,8.8,908.9
2020-04-01,Kaski,23.3,9.8,63.2,8.9,911.2
2020-04-02,Kaski,19.1,8.8,70.5,2.6,915.9
2020-04-03,Kaski,20.7,10.7,66.5,1.7,912.4
2020-04-04,Kaski,20.2,3.7,58.4,6.0,916.3
2020-04-05,Kaski,23.8,5.0,58.8,4.8,914.4
2020-04-06,Kaski,22.8,5.7,65.1,1.4,918.5
2020-04-07,Kaski,19.8,0.0,52.0,1.7,916.9
2020-04-08,Kaski,22.3,15.1,66.4,5.8,916.9
2020-04-09,Kaski,19.8,0.0,49.6,3.9,912.5
2020-04-10,Kaski,22.9,11.8,71.5,5.9,913.5
2020-04-11,Kaski,19.8,21.8,74.4,2.2,912.8
2020-04-12,Kaski,24.3,12.7,61.6,6.2,909.2
2020-04-13,Kaski,24.1,0.0,54.4,5.2,918.2
2020-04-14,Kaski,27.3,9.9,65.5,6.5,916.0
2020-04-15,Kaski,25.3,14.9,65.7,3.2,912.7
2020-04-16,Kaski,22.9,0.0,52.3,2.8,917.7
2020-04-17,Kaski,25.5,0.0,51.7,1.8,911.9
2020-04-18,Kaski,21.2,0.0,56.7,3.6,908.2
2020-04-19,Kaski,22.1,5.6,57.7,7.9,916.8
2020-04-20,Kaski,24.9,21.9,70.3,9.2,909.9
2020-04-21,Kaski,20.0,21.0,65.1,2.1,913.2
2020-04-22,Kaski,24.3,15.0,67.4,4.2,914.4
2020-04-23,Kaski,22.5,8.5,60.9,10.4,914.9
2020-04-24,Kaski,24.8,21.2,70.4,11.2,916.3
2020-04-25,Kaski,22.6,16.7,69.4,3.5,915.5
2020-04-26,Kaski,25.7,23.6,77.6,8.3,915.4
2020-04-27,Kaski,25.0,22.3,76.3,7.5,911.4
2020-04-28,Kaski,27.9,37.1,87.4,7.1,914.6
2020-04-29,Kaski,25.2,0.0,53.8,1.6,909.2
2020-04-30,Kaski,23.8,14.0,63.4,3.0,918.4
2020-05-01,Kaski,24.9,25.9,70.5,3.9,909.6
2020-05-02,Kaski,22.8,26.8,73.5,3.8,912.7
2020-05-03,Kaski,26.4,38.8,86.1,4.1,909.8
2020-05-04,Kaski,26.9,34.2,78.4,12.0,911.6
2020-05-05,Kaski,30.7,29.8,79.3,3.5,913.8
2020-05-06,Kaski,24.6,42.1,83.9,5.4,912.2
2020-05-07,Kaski,25.4,14.2,58.1,5.2,917.2
2020-05-08,Kaski,24.9,20.5,75.5,4.2,914.4
2020-05-09,Kaski,26.6,17.6,66.7,2.2,912.4
2020-05-10,Kaski,27.0,24.0,70.0,4.5,913.4
2020-05-11,Kaski,26.2,13.0,59.9,1.4,917.4
2020-05-12,Kaski,28.6,36.9,86.6,5.7,916.5
2020-05-13,Kaski,25.3,27.2,83.6,1.3,910.3
2020-05-14,Kaski,28.5,12.5,63.0,5.4,911.7
2020-05-15,Kaski,27.7,18.3,68.6,2.9,915.2
2020-05-16,Kaski,26.7,35.1,88.4,2.4,914.8
2020-05-17,Kaski,26.2,42.2,79.7,6.6,910.6
2020-05-18,Kaski,31.7,57.7,100.0,3.3,916.0
2020-05-19,Kaski,25.3,70.4,100.0,4.4,911.1
2020-05-20,Kaski,27.6,38.4,72.2,1.6,917.7
2020-05-21,Kaski,25.6,0.0,54.5,9.6,915.3
2020-05-22,Kaski,30.7,0.0,51.4,4.6,910.4
2020-05-23,Kaski,29.0,37.8,83.9,4.6,912.2
2020-05-24,Kaski,25.9,23.3,71.5,5.7,912.1
2020-05-25,Kaski,28.3,0.0,59.1,1.1,914.2
2020-05-26,Kaski,27.9,26.7,75.8,10.2,913.1
2020-05-27,Kaski,26.4,0.0,50.4,3.5,910.3
2020-05-28,Kaski,29.0,51.5,95.3,9.8,909.6
2020-05-29,Kaski,28.3,38.8,88.6,3.4,915.4
2020-05-30,Kaski,28.0,34.5,76.7,3.0,914.6
2020-05-31,Kaski,27.5,0.0,46.8,5.5,914.1
2020-06-01,Kaski,28.5,12.4,74.9,13.4,914.6
2020-06-02,Kaski,28.1,30.5,76.2,8.3,911.9
2020-06-03,Kaski,27.8,37.4,84.2,5.9,914.3
2020-06-04,Kaski,26.5,65.9,100.0,5.5,921.4
2020-06-05,Kaski,31.2,41.0,90.5,4.5,917.3
2020-06-06,Kaski,25.7,54.7,100.0,9.5,912.9
2020-06-07,Kaski,28.7,31.7,83.3,6.7,912.2
2020-06-08,Kaski,27.2,21.0,64.2,1.8,905.2
2020-06-09,Kaski,31.4,24.7,67.8,2.4,917.0
2020-06-10,Kaski,26.1,28.8,76.0,6.0,916.1
2020-06-11,Kaski,26.5,75.7,100.0,2.2,912.1
2020-06-12,Kaski,26.0,27.7,68.6,4.6,909.5
2020-06-13,Kaski,28.6,55.5,100.0,7.1,910.3
2020-06-14,Kaski,25.2,26.7,70.9,5.5,915.1
2020-06-15,Kaski,27.0,57.8,100.0,2.0,913.5
2020-06-16,Kaski,23.7,48.9,100.0,2.4,915.8
2020-06-17,Kaski,28.5,40.0,85.8,5.6,914.0
2020-06-18,Kaski,27.0,42.3,91.0,12.5,916.7
2020-06-19,Kaski,25.0,31.9,74.4,4.0,914.9
2020-06-20,Kaski,30.2,51.3,99.2,7.2,916.2
2020-06-21,Kaski,25.4,35.8,81.1,5.6,907.5
2020-06-22,Kaski,29.6,22.4,67.5,2.9,910.1
2020-06-23,Kaski,26.6,21.6,70.8,7.3,912.7
2020-06-24,Kaski,31.2,47.6,90.8,1.6,917.0
2020-06-25,Kaski,29.4,0.0,53.4,6.9,919.4
2020-06-26,Kaski,25.9,47.8,98.0,5.8,913.3
2020-06-27,Kaski,26.1,43.0,85.5,3.1,911.9
2020-06-28,Kaski,29.1,50.5,100.0,2.3,907.9
2020-06-29,Kaski,27.3,69.3,100.0,3.2,916.4
2020-06-30,Kaski,27.5,0.0,63.1,2.8,912.1
2020-07-01,Kaski,30.4,38.4,80.6,3.7,922.6
2020-07-02,Kaski,26.3,66.4,100.0,3.4,911.5
2020-07-03,Kaski,27.9,0.0,52.5,3.1,920.1
2020-07-04,Kaski,29.6,74.8,100.0,1.6,916.0
2020-07-05,Kaski,29.3,49.9,98.9,2.1,910.7
2020-07-06,Kaski,27.3,23.8,81.5,8.0,914.5
2020-07-07,Kaski,27.0,21.2,77.9,3.1,916.1
2020-07-08,Kaski,24.1,77.7,100.0,3.7,913.1
2020-07-09,Kaski,25.4,79.2,100.0,3.3,916.3
2020-07-10,Kaski,28.1,43.6,86.0,9.7,916.2
2020-07-11,Kaski,27.1,39.8,81.9,2.7,915.5
2020-07-12,Kaski,27.5,74.6,100.0,2.6,913.7
2020-07-13,Kaski,29.4,26.2,73.8,5.8,910.2
2020-07-14,Kaski,24.9,30.3,80.5,4.8,913.5
2020-07-15,Kaski,26.7,59.2,92.8,5.9,914.3
2020-07-16,Kaski,27.5,39.7,86.5,5.7,908.1
2020-07-17,Kaski,25.6,47.0,100.0,7.4,914.3
2020-07-18,Kaski,29.8,44.0,95.8,2.0,913.5
2020-07-19,Kaski,28.7,53.3,94.7,5.5,909.9
2020-07-20,Kaski,27.4,73.3,100.0,2.6,912.8
2020-07-21,Kaski,30.4,48.5,96.1,1.4,912.8
2020-07-22,Kaski,23.7,58.7,90.4,5.7,919.6
2020-07-23,Kaski,26.6,0.0,60.6,5.5,914.4
2020-07-24,Kaski,27.3,45.6,90.4,4.2,916.9
2020-07-25,Kaski,24.6,30.7,88.7,7.4,913.4
2020-07-26,Kaski,27.0,23.7,65.3,2.6,908.1
2020-07-27,Kaski,24.1,29.8,83.4,6.3,915.8
2020-07-28,Kaski,27.6,39.7,86.3,3.9,911.8
2020-07-29,Kaski,28.2,62.3,100.0,4.1,912.8
2020-07-30,Kaski,26.6,21.3,65.2,1.5,910.6
2020-07-31,Kaski,22.2,45.7,94.5,7.5,914.0
2020-08-01,Kaski,23.9,36.2,87.3,5.4,917.0
2020-08-02,Kaski,26.9,38.8,95.0,6.1,916.6
2020-08-03,Kaski,25.7,62.1,100.0,2.4,918.5
2020-08-04,Kaski,20.2,53.5,94.8,5.0,918.9
2020-08-05,Kaski,27.9,67.1,100.0,3.9,907.6
2020-08-06,Kaski,25.6,40.7,80.7,5.5,910.2
2020-08-07,Kaski,23.6,31.1,87.2,4.9,908.3
2020-08-08,Kaski,27.1,0.0,51.1,10.8,915.7
2020-08-09,Kaski,23.7,46.5,99.6,8.9,911.7
2020-08-10,Kaski,23.5,44.9,93.5,3.6,912.3
2020-08-11,Kaski,25.5,23.6,75.5,5.7,913.1
2020-08-12,Kaski,28.3,42.7,87.6,3.5,914.9
2020-08-13,Kaski,27.8,44.5,93.9,7.3,909.3
2020-08-14,Kaski,25.2,81.0,100.0,4.0,910.0
2020-08-15,Kaski,25.3,69.9,100.0,3.2,913.8
2020-08-16,Kaski,25.8,26.0,79.3,5.0,917.4
2020-08-17,Kaski,21.6,34.6,82.0,8.5,913.7
2020-08-18,Kaski,25.3,16.0,63.8,7.7,911.4
2020-08-19,Kaski,22.4,29.1,81.3,3.3,907.3
2020-08-20,Kaski,24.4,42.4,88.6,10.3,916.6
2020-08-21,Kaski,23.2,0.0,57.4,2.5,911.6
2020-08-22,Kaski,24.5,26.0,73.5,3.0,910.3
2020-08-23,Kaski,23.6,26.7,70.3,7.1,908.6
2020-08-24,Kaski,17.1,5.0,67.7,1.4,909.4
2020-08-25,Kaski,23.5,32.9,89.1,4.4,910.9
2020-08-26,Kaski,24.3,19.9,75.3,3.6,913.0
2020-08-27,Kaski,23.8,26.9,74.6,10.6,910.1
2020-08-28,Kaski,22.6,21.8,70.9,2.3,914.3
2020-08-29,Kaski,25.9,31.8,87.4,2.4,913.0
2020-08-30,Kaski,23.1,9.7,61.0,11.5,920.4
2020-08-31,Kaski,23.2,13.2,62.4,3.6,908.6
2020-09-01,Kaski,24.3,58.3,100.0,8.3,914.2
2020-09-02,Kaski,22.8,15.0,66.8,3.3,914.3
2020-09-03,Kaski,20.2,17.1,77.5,2.9,910.7
2020-09-04,Kaski,17.0,51.8,89.4,8.5,914.0
2020-09-05,Kaski,20.8,63.4,100.0,13.2,916.1
2020-09-06,Kaski,23.1,15.3,77.6,8.9,914.0
2020-09-07,Kaski,20.7,0.0,55.1,3.2,917.9
2020-09-08,Kaski,22.9,31.5,78.9,4.2,907.2
2020-09-09,Kaski,21.5,45.9,85.9,2.5,911.2
2020-09-10,Kaski,23.6,16.1,73.3,2.7,918.2
2020-09-11,Kaski,20.3,23.5,69.9,2.6,916.5
2020-09-12,Kaski,21.7,33.5,81.3,3.4,915.4
2020-09-13,Kaski,21.6,29.3,72.3,4.7,917.5
2020-09-14,Kaski,23.5,20.8,79.4,4.3,908.0
2020-09-15,Kaski,16.9,0.0,60.8,6.5,916.1
2020-09-16,Kaski,19.3,10.5,63.2,4.8,917.0
2020-09-17,Kaski,21.8,20.7,65.8,6.2,911.8
2020-09-18,Kaski,23.0,20.0,78.7,6.8,921.6
2020-09-19,Kaski,20.3,23.9,72.3,3.2,914.3
2020-09-20,Kaski,19.1,0.0,49.5,3.9,907.2
2020-09-21,Kaski,21.0,24.8,66.0,21.6,914.9
2020-09-22,Kaski,21.1,28.6,74.7,3.1,911.6
2020-09-23,Kaski,18.5,21.1,64.6,6.4,917.3
2020-09-24,Kaski,19.8,22.1,69.6,2.0,915.4
2020-09-25,Kaski,21.3,19.3,74.2,6.9,912.0
2020-09-26,Kaski,22.6,18.4,67.8,2.8,918.3
2020-09-27,Kaski,20.2,12.8,67.0,4.4,916.6
2020-09-28,Kaski,18.7,0.0,51.4,1.9,911.3
2020-09-29,Kaski,18.3,16.4,68.4,4.2,913.3
2020-09-30,Kaski,19.4,30.5,89.0,4.2,915.3
2020-10-01,Kaski,17.9,26.3,74.3,3.9,912.7
2020-10-02,Kaski,18.4,18.1,71.4,5.6,912.8
2020-10-03,Kaski,15.8,10.6,55.7,8.1,913.9
2020-10-04,Kaski,20.4,8.3,69.2,2.4,910.6
2020-10-05,Kaski,15.3,21.3,69.7,3.9,907.1
2020-10-06,Kaski,16.6,15.5,72.7,1.5,914.5
2020-10-07,Kaski,17.6,16.3,67.4,4.8,907.8
2020-10-08,Kaski,21.2,4.0,61.3,2.3,910.8
2020-10-09,Kaski,16.3,17.7,72.5,4.3,908.4
2020-10-10,Kaski,15.6,14.8,64.6,4.9,908.8
2020-10-11,Kaski,15.7,6.8,65.9,1.6,915.0
2020-10-12,Kaski,20.0,9.6,58.9,5.3,913.1
2020-10-13,Kaski,11.0,12.7,69.0,7.8,913.0
2020-10-14,Kaski,14.5,11.4,62.2,6.0,909.8
2020-10-15,Kaski,21.8,9.5,64.3,2.4,911.8
2020-10-16,Kaski,17.4,10.0,60.7,4.2,914.9
2020-10-17,Kaski,13.9,9.1,62.5,4.4,913.6
2020-10-18,Kaski,15.9,0.0,49.6,4.0,916.2
2020-10-19,Kaski,16.0,15.2,68.4,2.0,916.7
2020-10-20,Kaski,17.4,0.0,55.2,2.7,913.0
2020-10-21,Kaski,19.3,8.1,58.8,3.7,908.2
2020-10-22,Kaski,16.3,9.3,62.2,4.8,911.5
2020-10-23,Kaski,14.3,0.0,55.7,3.1,913.5
2020-10-24,Kaski,16.9,6.9,57.4,1.5,911.4
2020-10-25,Kaski,13.8,2.4,56.3,3.2,910.6
2020-10-26,Kaski,13.0,8.7,56.9,10.8,914.0
2020-10-27,Kaski,11.5,12.6,76.8,5.3,921.1
2020-10-28,Kaski,11.7,2.8,62.5,4.8,912.3
2020-10-29,Kaski,13.0,9.4,63.9,2.6,913.8
2020-10-30,Kaski,12.3,5.9,65.6,3.3,909.8
2020-10-31,Kaski,15.2,6.4,50.2,1.4,917.5
2020-11-01,Kaski,12.1,3.7,45.2,2.5,916.4
2020-11-02,Kaski,8.1,5.3,57.2,5.2,916.2
2020-11-03,Kaski,12.2,9.0,55.3,4.8,917.8
2020-11-04,Kaski,13.2,7.1,59.5,2.9,912.5
2020-11-05,Kaski,12.9,9.5,63.6,3.9,912.9
2020-11-06,Kaski,17.0,8.0,66.0,4.4,918.9
2020-11-07,Kaski,12.7,6.2,54.3,3.0,915.7
2020-11-08,Kaski,15.6,8.6,63.9,5.5,907.1
2020-11-09,Kaski,13.7,5.8,59.7,4.7,915.1
2020-11-10,Kaski,13.5,0.0,56.7,3.3,912.0
2020-11-11,Kaski,11.9,4.1,55.7,2.0,916.5
2020-11-12,Kaski,13.4,4.6,65.6,3.2,915.0
2020-11-13,Kaski,11.9,0.0,54.5,3.1,908.5
2020-11-14,Kaski,13.7,5.9,68.6,2.9,914.6
2020-11-15,Kaski,12.8,2.2,52.8,1.7,914.4
2020-11-16,Kaski,11.3,5.2,62.9,9.1,914.9
2020-11-17,Kaski,15.1,3.6,57.6,8.8,915.5
2020-11-18,Kaski,13.9,5.5,57.8,3.9,918.2
2020-11-19,Kaski,12.1,4.8,62.0,4.8,915.0
2020-11-20,Kaski,13.2,0.0,53.5,5.5,913.8
2020-11-21,Kaski,12.7,0.0,41.7,3.9,917.2
2020-11-22,Kaski,11.0,1.3,40.7,5.0,920.5
2020-11-23,Kaski,12.9,3.2,63.9,5.9,916.5
2020-11-24,Kaski,11.4,0.0,61.2,4.6,914.4
2020-11-25,Kaski,10.7,2.5,66.4,6.6,915.1
2020-11-26,Kaski,9.3,4.9,58.8,2.8,914.5
2020-11-27,Kaski,11.8,3.7,51.5,4.2,913.8
2020-11-28,Kaski,13.6,0.0,52.9,17.1,920.3
2020-11-29,Kaski,11.0,1.7,56.4,7.5,911.5
2020-11-30,Kaski,17.4,2.8,52.2,4.7,917.2
2020-12-01,Kaski,14.1,1.4,64.4,2.4,913.4
2020-12-02,Kaski,14.9,0.0,66.2,4.3,909.3
2020-12-03,Kaski,13.8,2.9,59.7,7.2,913.2
2020-12-04,Kaski,15.9,0.0,54.9,6.3,912.1
2020-12-05,Kaski,10.6,3.1,51.0,1.5,915.5
2020-12-06,Kaski,7.0,0.0,62.7,1.7,914.0
2020-12-07,Kaski,11.2,0.0,55.4,1.7,910.7
2020-12-08,Kaski,13.2,0.0,53.6,5.5,918.2
2020-12-09,Kaski,12.4,0.0,57.4,1.7,917.0
2020-12-10,Kaski,12.6,0.0,52.1,2.4,918.5
2020-12-11,Kaski,14.7,0.0,55.7,3.8,914.5
2020-12-12,Kaski,12.8,0.0,47.8,7.9,913.7
2020-12-13,Kaski,13.6,0.0,60.4,5.7,915.9
2020-12-14,Kaski,10.1,0.8,55.1,3.6,912.0
2020-12-15,Kaski,9.8,3.3,63.4,6.7,914.2
2020-12-16,Kaski,15.2,2.4,55.9,12.7,913.2
2020-12-17,Kaski,12.2,0.0,54.3,4.3,909.4
2020-12-18,Kaski,10.8,0.0,48.9,2.0,914.1
2020-12-19,Kaski,10.8,2.6,60.9,2.4,912.4
2020-12-20,Kaski,10.7,0.0,50.6,2.4,913.0
2020-12-21,Kaski,10.6,0.0,52.6,2.7,914.9
2020-12-22,Kaski,9.5,2.1,56.7,3.4,917.6
2020-12-23,Kaski,9.0,2.1,57.3,4.9,911.2
2020-12-24,Kaski,11.7,0.0,46.5,1.8,912.8
2020-12-25,Kaski,10.9,1.8,55.3,2.0,911.5
2020-12-26,Kaski,14.3,0.0,59.0,5.9,911.3
2020-12-27,Kaski,12.7,2.1,54.8,3.1,912.0
2020-12-28,Kaski,12.7,0.0,53.9,2.5,913.2
2020-12-29,Kaski,10.7,0.0,55.8,3.6,915.5
2020-12-30,Kaski,11.9,1.7,55.7,8.7,914.7
2020-12-31,Kaski,12.9,0.0,49.8,6.4,910.6
2021-01-01,Kaski,13.6,1.1,55.7,6.1,917.6
2021-01-02,Kaski,12.1,0.0,60.0,10.6,916.6
2021-01-03,Kaski,14.4,1.8,51.2,5.1,911.1
2021-01-04,Kaski,12.3,2.2,54.9,11.1,917.4
2021-01-05,Kaski,13.9,0.0,48.1,11.7,914.7
2021-01-06,Kaski,11.4,2.5,61.7,1.9,913.3
2021-01-07,Kaski,8.8,0.0,54.5,1.6,914.8
2021-01-08,Kaski,13.0,0.0,50.7,2.3,913.7
2021-01-09,Kaski,14.0,0.0,55.5,8.2,915.4
2021-01-10,Kaski,13.7,3.2,51.5,3.7,914.3
2021-01-11,Kaski,13.5,1.5,51.0,3.4,912.7
2021-01-12,Kaski,12.0,0.3,47.9,6.8,907.7
2021-01-13,Kaski,11.1,2.7,51.8,3.0,915.3
2021-01-14,Kaski,13.9,1.3,62.8,4.7,912.6
2021-01-15,Kaski,13.7,0.0,51.3,5.9,916.1
2021-01-16,Kaski,11.8,2.5,59.3,2.4,915.2
2021-01-17,Kaski,15.2,0.0,50.8,2.1,912.7
2021-01-18,Kaski,11.3,0.0,58.8,4.3,916.8
2021-01-19,Kaski,12.0,0.0,49.9,4.6,914.4
2021-01-20,Kaski,16.5,0.0,55.2,6.5,914.3
2021-01-21,Kaski,15.0,0.0,55.3,2.3,913.3
2021-01-22,Kaski,12.6,0.0,66.6,2.7,918.8
2021-01-23,Kaski,14.0,0.0,58.2,11.6,911.6
2021-01-24,Kaski,13.8,0.0,52.0,7.4,912.8
2021-01-25,Kaski,8.1,0.1,58.5,3.9,910.0
2021-01-26,Kaski,11.9,1.8,67.1,8.1,915.9
2021-01-27,Kaski,13.7,0.0,46.9,2.3,912.0
2021-01-28,Kaski,13.1,0.0,50.8,3.6,912.3
2021-01-29,Kaski,14.4,0.0,53.8,4.6,912.2
2021-01-30,Kaski,16.3,0.0,52.9,3.4,913.9
2021-01-31,Kaski,13.5,2.3,55.2,3.5,910.0
2021-02-01,Kaski,12.1,0.0,48.5,6.3,907.0
2021-02-02,Kaski,15.0,2.2,63.8,7.4,915.1
2021-02-03,Kaski,13.8,1.3,48.9,3.2,907.4
2021-02-04,Kaski,14.2,0.0,54.0,1.9,916.3
2021-02-05,Kaski,14.0,2.0,61.8,1.7,918.4
2021-02-06,Kaski,19.2,0.0,54.8,1.4,913.3
2021-02-07,Kaski,10.3,1.6,51.4,10.5,917.7
2021-02-08,Kaski,14.1,2.4,50.2,6.3,913.7
2021-02-09,Kaski,15.0,1.8,55.3,5.5,918.6
2021-02-10,Kaski,13.6,1.9,52.7,3.0,912.4
2021-02-11,Kaski,17.0,2.7,58.2,3.0,906.7
2021-02-12,Kaski,17.0,0.4,48.3,7.6,913.5
2021-02-13,Kaski,15.4,0.0,59.1,1.6,918.9
2021-02-14,Kaski,15.0,0.9,56.3,3.3,915.4
2021-02-15,Kaski,15.5,0.1,56.0,8.2,912.2
2021-02-16,Kaski,15.6,0.0,62.2,3.3,914.7
2021-02-17,Kaski,15.8,3.0,55.2,6.1,916.7
2021-02-18,Kaski,15.7,0.0,51.4,4.0,913.5
2021-02-19,Kaski,16.7,0.0,52.3,1.1,921.6
2021-02-20,Kaski,17.8,0.0,54.0,3.9,912.2
2021-02-21,Kaski,14.0,0.0,54.5,4.3,916.8
2021-02-22,Kaski,14.4,2.5,52.8,3.7,916.0
2021-02-23,Kaski,13.2,0.0,44.9,2.1,911.7
2021-02-24,Kaski,18.5,0.0,52.2,3.7,912.5
2021-02-25,Kaski,17.4,0.0,56.8,1.4,916.8
2021-02-26,Kaski,18.1,0.0,55.7,3.3,914.2
2021-02-27,Kaski,14.3,1.2,62.0,6.4,914.8
2021-02-28,Kaski,20.9,1.9,66.3,10.1,908.9
2021-03-01,Kaski,16.2,0.0,58.8,9.1,915.7
2021-03-02,Kaski,17.9,4.3,65.4,2.2,914.6
2021-03-03,Kaski,19.4,5.6,63.3,1.8,913.6
2021-03-04,Kaski,15.9,1.5,64.7,4.6,914.8
2021-03-05,Kaski,16.9,4.1,67.5,4.2,912.5
2021-03-06,Kaski,18.4,2.2,61.5,5.8,912.0
2021-03-07,Kaski,23.9,4.5,62.1,2.8,913.0
2021-03-08,Kaski,19.0,3.8,57.0,4.3,912.4
2021-03-09,Kaski,21.7,1.1,55.7,4.1,920.3
