date,district,river,river_flow_cumecs,hydro_plant,plant_capacity_mw,generation_mw
2020-02-29,Kaski,Seti,29.9,Seti Hydropower,22.5,12.05
2020-03-01,Kaski,Seti,25.01,Seti Hydropower,22.5,10.9
2020-03-02,Kaski,Seti,29.17,Seti Hydropower,22.5,11.04
2020-03-03,Kaski,Seti,31.05,Seti Hydropower,22.5,12.77
2020-03-04,Kaski,Seti,31.42,Seti Hydropower,22.5,12.04
2020-03-05,Kaski,Seti,31.36,Seti Hydropower,22.5,12.59
2020-03-06,Kaski,Seti,33.42,Seti Hydropower,22.5,13.08
2020-03-07,Kaski,Seti,27.19,Seti Hydropower,22.5,11.7
2020-03-08,Kaski,Seti,26.17,Seti Hydropower,22.5,11.22
2020-03-09,Kaski,Seti,28.63,Seti Hydropower,22.5,10.9
2020-03-10,Kaski,Seti,26.5,Seti Hydropower,22.5,10.87
2020-03-11,Kaski,Seti,26.75,Seti Hydropower,22.5,11.25
2020-03-12,Kaski,Seti,28.42,Seti Hydropower,22.5,11.61
2020-03-13,Kaski,Seti,30.8,Seti Hydropower,22.5,12.5
2020-03-14,Kaski,Seti,35.03,Seti Hydropower,22.5,13.69
2020-03-15,Kaski,Seti,34.96,Seti Hydropower,22.5,13.6
2020-03-16,Kaski,Seti,32.25,Seti Hydropower,22.5,12.61
2020-03-17,Kaski,Seti,26.27,Seti Hydropower,22.5,10.45
2020-03-18,Kaski,Seti,31.58,Seti Hydropower,22.5,12.35
2020-03-19,Kaski,Seti,29.04,Seti Hydropower,22.5,12.0
2020-03-20,Kaski,Seti,28.99,Seti Hydropower,22.5,11.45
2020-03-21,Kaski,Seti,33.36,Seti Hydropower,22.5,13.22
2020-03-22,Kaski,Seti,29.73,Seti Hydropower,22.5,12.37
2020-03-23,Kaski,Seti,35.07,Seti Hydropower,22.5,13.43
2020-03-24,Kaski,Seti,35.76,Seti Hydropower,22.5,12.3
2020-03-25,Kaski,Seti,34.97,Seti Hydropower,22.5,12.85
2020-03-26,Kaski,Seti,43.66,Seti Hydropower,22.5,16.05
2020-03-27,Kaski,Seti,42.87,Seti Hydropower,22.5,14.8
2020-03-28,Kaski,Seti,47.0,Seti Hydropower,22.5,14.85
2020-03-29,Kaski,Seti,48.66,Seti Hydropower,22.5,16.67
2020-03-30,Kaski,Seti,47.37,Seti Hydropower,22.5,15.86
2020-03-31,Kaski,Seti,48.98,Seti Hydropower,22.5,16.66
2020-04-01,Kaski,Seti,41.03,Seti Hydropower,22.5,14.8
2020-04-02,Kaski,Seti,36.93,Seti Hydropower,22.5,14.0
2020-04-03,Kaski,Seti,36.66,Seti Hydropower,22.5,13.9
2020-04-04,Kaski,Seti,27.02,Seti Hydropower,22.5,11.52
2020-04-05,Kaski,Seti,34.99,Seti Hydropower,22.5,14.28
2020-04-06,Kaski,Seti,29.92,Seti Hydropower,22.5,12.44
2020-04-07,Kaski,Seti,34.98,Seti Hydropower,22.5,12.73
2020-04-08,Kaski,Seti,51.64,Seti Hydropower,22.5,16.77
2020-04-09,Kaski,Seti,47.37,Seti Hydropower,22.5,16.4
2020-04-10,Kaski,Seti,40.91,Seti Hydropower,22.5,15.18
2020-04-11,Kaski,Seti,48.11,Seti Hydropower,22.5,15.78
2020-04-12,Kaski,Seti,46.55,Seti Hydropower,22.5,16.27
2020-04-13,Kaski,Seti,42.57,Seti Hydropower,22.5,15.4
2020-04-14,Kaski,Seti,31.5,Seti Hydropower,22.5,13.47
2020-04-15,Kaski,Seti,28.04,Seti Hydropower,22.5,11.31
2020-04-16,Kaski,Seti,27.31,Seti Hydropower,22.5,11.19
2020-04-17,Kaski,Seti,43.22,Seti Hydropower,22.5,14.97
2020-04-18,Kaski,Seti,56.68,Seti Hydropower,22.5,17.02
2020-04-19,Kaski,Seti,47.03,Seti Hydropower,22.5,15.38
2020-04-20,Kaski,Seti,53.63,Seti Hydropower,22.5,15.45
2020-04-21,Kaski,Seti,60.39,Seti Hydropower,22.5,17.52
2020-04-22,Kaski,Seti,58.77,Seti Hydropower,22.5,17.74
2020-04-23,Kaski,Seti,60.16,Seti Hydropower,22.5,17.46
2020-04-24,Kaski,Seti,71.01,Seti Hydropower,22.5,19.98
2020-04-25,Kaski,Seti,80.26,Seti Hydropower,22.5,19.66
2020-04-26,Kaski,Seti,66.22,Seti Hydropower,22.5,19.13
2020-04-27,Kaski,Seti,62.88,Seti Hydropower,22.5,18.19
2020-04-28,Kaski,Seti,78.77,Seti Hydropower,22.5,20.03
2020-04-29,Kaski,Seti,74.08,Seti Hydropower,22.5,19.32
2020-04-30,Kaski,Seti,81.3,Seti Hydropower,22.5,20.54
2020-05-01,Kaski,Seti,95.91,Seti Hydropower,22.5,20.63
2020-05-02,Kaski,Seti,95.68,Seti Hydropower,22.5,20.89
2020-05-03,Kaski,Seti,118.14,Seti Hydropower,22.5,21.66
2020-05-04,Kaski,Seti,98.57,Seti Hydropower,22.5,20.54
2020-05-05,Kaski,Seti,89.04,Seti Hydropower,22.5,20.47
2020-05-06,Kaski,Seti,88.61,Seti Hydropower,22.5,21.56
2020-05-07,Kaski,Seti,71.19,Seti Hydropower,22.5,18.75
2020-05-08,Kaski,Seti,66.26,Seti Hydropower,22.5,18.65
2020-05-09,Kaski,Seti,76.62,Seti Hydropower,22.5,20.1
2020-05-10,Kaski,Seti,80.8,Seti Hydropower,22.5,20.37
2020-05-11,Kaski,Seti,66.17,Seti Hydropower,22.5,18.41
2020-05-12,Kaski,Seti,75.87,Seti Hydropower,22.5,17.93
2020-05-13,Kaski,Seti,82.16,Seti Hydropower,22.5,20.1
2020-05-14,Kaski,Seti,85.93,Seti Hydropower,22.5,18.71
2020-05-15,Kaski,Seti,110.24,Seti Hydropower,22.5,22.12
2020-05-16,Kaski,Seti,147.91,Seti Hydropower,22.5,22.11
2020-05-17,Kaski,Seti,146.55,Seti Hydropower,22.5,22.5
2020-05-18,Kaski,Seti,120.42,Seti Hydropower,22.5,20.91
2020-05-19,Kaski,Seti,96.84,Seti Hydropower,22.5,19.68
2020-05-20,Kaski,Seti,92.31,Seti Hydropower,22.5,20.57
2020-05-21,Kaski,Seti,78.17,Seti Hydropower,22.5,19.48
2020-05-22,Kaski,Seti,52.06,Seti Hydropower,22.5,16.37
2020-05-23,Kaski,Seti,67.88,Seti Hydropower,22.5,18.63
2020-05-24,Kaski,Seti,47.14,Seti Hydropower,22.5,17.13
2020-05-25,Kaski,Seti,79.91,Seti Hydropower,22.5,20.12
2020-05-26,Kaski,Seti,90.93,Seti Hydropower,22.5,20.98
2020-05-27,Kaski,Seti,97.44,Seti Hydropower,22.5,21.19
2020-05-28,Kaski,Seti,81.37,Seti Hydropower,22.5,20.61
2020-05-29,Kaski,Seti,70.26,Seti Hydropower,22.5,18.71
2020-05-30,Kaski,Seti,76.58,Seti Hydropower,22.5,18.18
2020-05-31,Kaski,Seti,83.32,Seti Hydropower,22.5,19.76
2020-06-01,Kaski,Seti,103.0,Seti Hydropower,22.5,21.42
2020-06-02,Kaski,Seti,115.7,Seti Hydropower,22.5,20.74
2020-06-03,Kaski,Seti,131.93,Seti Hydropower,22.5,21.63
2020-06-04,Kaski,Seti,143.44,Seti Hydropower,22.5,21.49
2020-06-05,Kaski,Seti,113.07,Seti Hydropower,22.5,22.24
2020-06-06,Kaski,Seti,110.91,Seti Hydropower,22.5,21.68
2020-06-07,Kaski,Seti,95.61,Seti Hydropower,22.5,20.98
2020-06-08,Kaski,Seti,119.13,Seti Hydropower,22.5,21.85
2020-06-09,Kaski,Seti,110.01,Seti Hydropower,22.5,21.15
2020-06-10,Kaski,Seti,122.85,Seti Hydropower,22.5,21.68
2020-06-11,Kaski,Seti,138.02,Seti Hydropower,22.5,21.08
2020-06-12,Kaski,Seti,125.34,Seti Hydropower,22.5,20.19
2020-06-13,Kaski,Seti,148.06,Seti Hydropower,22.5,22.1
2020-06-14,Kaski,Seti,124.61,Seti Hydropower,22.5,21.8
2020-06-15,Kaski,Seti,139.39,Seti Hydropower,22.5,22.5
2020-06-16,Kaski,Seti,125.29,Seti Hydropower,22.5,22.5
2020-06-17,Kaski,Seti,127.76,Seti Hydropower,22.5,22.5
2020-06-18,Kaski,Seti,124.22,Seti Hydropower,22.5,20.94
2020-06-19,Kaski,Seti,102.58,Seti Hydropower,22.5,20.68
2020-06-20,Kaski,Seti,100.58,Seti Hydropower,22.5,21.11
2020-06-21,Kaski,Seti,105.53,Seti Hydropower,22.5,22.5
2020-06-22,Kaski,Seti,73.51,Seti Hydropower,22.5,19.96
2020-06-23,Kaski,Seti,89.09,Seti Hydropower,22.5,20.91
2020-06-24,Kaski,Seti,108.74,Seti Hydropower,22.5,20.89
2020-06-25,Kaski,Seti,134.77,Seti Hydropower,22.5,21.22
2020-06-26,Kaski,Seti,145.96,Seti Hydropower,22.5,22.5
2020-06-27,Kaski,Seti,106.53,Seti Hydropower,22.5,20.36
2020-06-28,Kaski,Seti,112.25,Seti Hydropower,22.5,21.1
2020-06-29,Kaski,Seti,150.86,Seti Hydropower,22.5,21.96
2020-06-30,Kaski,Seti,101.95,Seti Hydropower,22.5,21.87
2020-07-01,Kaski,Seti,129.03,Seti Hydropower,22.5,21.46
2020-07-02,Kaski,Seti,148.68,Seti Hydropower,22.5,20.4
2020-07-03,Kaski,Seti,121.36,Seti Hydropower,22.5,21.84
2020-07-04,Kaski,Seti,119.93,Seti Hydropower,22.5,21.02
2020-07-05,Kaski,Seti,142.62,Seti Hydropower,22.5,21.96
2020-07-06,Kaski,Seti,147.62,Seti Hydropower,22.5,21.94
2020-07-07,Kaski,Seti,140.17,Seti Hydropower,22.5,21.71
2020-07-08,Kaski,Seti,163.04,Seti Hydropower,22.5,22.5
2020-07-09,Kaski,Seti,186.53,Seti Hydropower,22.5,21.29
2020-07-10,Kaski,Seti,140.29,Seti Hydropower,22.5,21.55
2020-07-11,Kaski,Seti,126.05,Seti Hydropower,22.5,22.07
2020-07-12,Kaski,Seti,156.03,Seti Hydropower,22.5,21.69
2020-07-13,Kaski,Seti,119.7,Seti Hydropower,22.5,20.43
2020-07-14,Kaski,Seti,123.75,Seti Hydropower,22.5,22.0
2020-07-15,Kaski,Seti,139.9,Seti Hydropower,22.5,22.5
2020-07-16,Kaski,Seti,133.14,Seti Hydropower,22.5,21.74
2020-07-17,Kaski,Seti,159.77,Seti Hydropower,22.5,20.83
2020-07-18,Kaski,Seti,154.49,Seti Hydropower,22.5,22.5
2020-07-19,Kaski,Seti,163.95,Seti Hydropower,22.5,21.07
2020-07-20,Kaski,Seti,130.44,Seti Hydropower,22.5,21.92
2020-07-21,Kaski,Seti,123.3,Seti Hydropower,22.5,20.99
2020-07-22,Kaski,Seti,119.79,Seti Hydropower,22.5,20.72
2020-07-23,Kaski,Seti,85.5,Seti Hydropower,22.5,19.75
2020-07-24,Kaski,Seti,96.7,Seti Hydropower,22.5,20.52
2020-07-25,Kaski,Seti,95.82,Seti Hydropower,22.5,20.2
2020-07-26,Kaski,Seti,112.03,Seti Hydropower,22.5,21.62
2020-07-27,Kaski,Seti,103.53,Seti Hydropower,22.5,20.66
2020-07-28,Kaski,Seti,115.18,Seti Hydropower,22.5,21.97
2020-07-29,Kaski,Seti,125.44,Seti Hydropower,22.5,21.79
2020-07-30,Kaski,Seti,105.68,Seti Hydropower,22.5,20.58
2020-07-31,Kaski,Seti,137.08,Seti Hydropower,22.5,21.27
2020-08-01,Kaski,Seti,137.38,Seti Hydropower,22.5,20.77
2020-08-02,Kaski,Seti,152.33,Seti Hydropower,22.5,22.25
2020-08-03,Kaski,Seti,160.14,Seti Hydropower,22.5,21.9
2020-08-04,Kaski,Seti,138.32,Seti Hydropower,22.5,20.31
2020-08-05,Kaski,Seti,109.24,Seti Hydropower,22.5,20.81
2020-08-06,Kaski,Seti,108.66,Seti Hydropower,22.5,20.56
2020-08-07,Kaski,Seti,108.68,Seti Hydropower,22.5,22.13
2020-08-08,Kaski,Seti,101.21,Seti Hydropower,22.5,19.78
2020-08-09,Kaski,Seti,110.0,Seti Hydropower,22.5,20.26
2020-08-10,Kaski,Seti,116.62,Seti Hydropower,22.5,22.1
2020-08-11,Kaski,Seti,136.64,Seti Hydropower,22.5,22.5
2020-08-12,Kaski,Seti,169.42,Seti Hydropower,22.5,21.72
2020-08-13,Kaski,Seti,145.93,Seti Hydropower,22.5,21.56
2020-08-14,Kaski,Seti,158.79,Seti Hydropower,22.5,22.5
2020-08-15,Kaski,Seti,128.09,Seti Hydropower,22.5,20.16
2020-08-16,Kaski,Seti,98.14,Seti Hydropower,22.5,19.55
2020-08-17,Kaski,Seti,108.37,Seti Hydropower,22.5,20.94
2020-08-18,Kaski,Seti,70.14,Seti Hydropower,22.5,19.68
2020-08-19,Kaski,Seti,73.99,Seti Hydropower,22.5,18.9
2020-08-20,Kaski,Seti,82.66,Seti Hydropower,22.5,19.88
2020-08-21,Kaski,Seti,71.09,Seti Hydropower,22.5,19.54
2020-08-22,Kaski,Seti,72.53,Seti Hydropower,22.5,20.23
2020-08-23,Kaski,Seti,70.5,Seti Hydropower,22.5,18.51
2020-08-24,Kaski,Seti,63.37,Seti Hydropower,22.5,18.09
2020-08-25,Kaski,Seti,77.15,Seti Hydropower,22.5,20.48
2020-08-26,Kaski,Seti,77.69,Seti Hydropower,22.5,18.57
2020-08-27,Kaski,Seti,69.2,Seti Hydropower,22.5,19.29
2020-08-28,Kaski,Seti,62.78,Seti Hydropower,22.5,17.48
2020-08-29,Kaski,Seti,97.0,Seti Hydropower,22.5,20.71
2020-08-30,Kaski,Seti,73.88,Seti Hydropower,22.5,19.01
2020-08-31,Kaski,Seti,69.58,Seti Hydropower,22.5,18.21
2020-09-01,Kaski,Seti,118.69,Seti Hydropower,22.5,20.81
2020-09-02,Kaski,Seti,112.8,Seti Hydropower,22.5,21.44
2020-09-03,Kaski,Seti,97.62,Seti Hydropower,22.5,21.3
2020-09-04,Kaski,Seti,93.11,Seti Hydropower,22.5,20.38
2020-09-05,Kaski,Seti,104.11,Seti Hydropower,22.5,21.0
2020-09-06,Kaski,Seti,91.89,Seti Hydropower,22.5,20.74
2020-09-07,Kaski,Seti,86.99,Seti Hydropower,22.5,19.52
2020-09-08,Kaski,Seti,87.01,Seti Hydropower,22.5,20.55
2020-09-09,Kaski,Seti,100.04,Seti Hydropower,22.5,21.3
2020-09-10,Kaski,Seti,83.62,Seti Hydropower,22.5,21.44
2020-09-11,Kaski,Seti,85.25,Seti Hydropower,22.5,19.77
2020-09-12,Kaski,Seti,69.9,Seti Hydropower,22.5,18.52
2020-09-13,Kaski,Seti,59.72,Seti Hydropower,22.5,18.08
2020-09-14,Kaski,Seti,60.47,Seti Hydropower,22.5,18.2
2020-09-15,Kaski,Seti,63.2,Seti Hydropower,22.5,17.79
2020-09-16,Kaski,Seti,60.42,Seti Hydropower,22.5,17.54
2020-09-17,Kaski,Seti,51.38,Seti Hydropower,22.5,16.78
2020-09-18,Kaski,Seti,60.02,Seti Hydropower,22.5,17.27
2020-09-19,Kaski,Seti,73.35,Seti Hydropower,22.5,18.86
2020-09-20,Kaski,Seti,69.8,Seti Hydropower,22.5,18.82
2020-09-21,Kaski,Seti,76.81,Seti Hydropower,22.5,19.97
2020-09-22,Kaski,Seti,78.34,Seti Hydropower,22.5,19.15
2020-09-23,Kaski,Seti,71.0,Seti Hydropower,22.5,17.84
2020-09-24,Kaski,Seti,68.01,Seti Hydropower,22.5,17.53
2020-09-25,Kaski,Seti,51.62,Seti Hydropower,22.5,15.92
2020-09-26,Kaski,Seti,53.44,Seti Hydropower,22.5,16.16
2020-09-27,Kaski,Seti,62.43,Seti Hydropower,22.5,17.91
2020-09-28,Kaski,Seti,73.92,Seti Hydropower,22.5,18.46
2020-09-29,Kaski,Seti,69.56,Seti Hydropower,22.5,18.35
2020-09-30,Kaski,Seti,73.52,Seti Hydropower,22.5,18.67
2020-10-01,Kaski,Seti,63.39,Seti Hydropower,22.5,17.86
2020-10-02,Kaski,Seti,64.76,Seti Hydropower,22.5,18.98
2020-10-03,Kaski,Seti,57.7,Seti Hydropower,22.5,17.76
2020-10-04,Kaski,Seti,55.17,Seti Hydropower,22.5,17.08
2020-10-05,Kaski,Seti,54.65,Seti Hydropower,22.5,16.76
2020-10-06,Kaski,Seti,55.17,Seti Hydropower,22.5,16.85
2020-10-07,Kaski,Seti,57.43,Seti Hydropower,22.5,17.54
2020-10-08,Kaski,Seti,43.32,Seti Hydropower,22.5,15.39
2020-10-09,Kaski,Seti,50.91,Seti Hydropower,22.5,15.99
2020-10-10,Kaski,Seti,50.13,Seti Hydropower,22.5,16.33
2020-10-11,Kaski,Seti,43.78,Seti Hydropower,22.5,14.29
2020-10-12,Kaski,Seti,45.81,Seti Hydropower,22.5,15.68
2020-10-13,Kaski,Seti,46.61,Seti Hydropower,22.5,16.09
2020-10-14,Kaski,Seti,44.76,Seti Hydropower,22.5,15.27
2020-10-15,Kaski,Seti,36.79,Seti Hydropower,22.5,14.53
2020-10-16,Kaski,Seti,43.29,Seti Hydropower,22.5,14.72
2020-10-17,Kaski,Seti,35.01,Seti Hydropower,22.5,13.46
2020-10-18,Kaski,Seti,37.34,Seti Hydropower,22.5,13.89
2020-10-19,Kaski,Seti,43.25,Seti Hydropower,22.5,15.07
2020-10-20,Kaski,Seti,26.04,Seti Hydropower,22.5,10.96
2020-10-21,Kaski,Seti,33.43,Seti Hydropower,22.5,13.03
2020-10-22,Kaski,Seti,32.26,Seti Hydropower,22.5,13.02
2020-10-23,Kaski,Seti,34.79,Seti Hydropower,22.5,13.87
2020-10-24,Kaski,Seti,38.9,Seti Hydropower,22.5,14.24
2020-10-25,Kaski,Seti,30.73,Seti Hydropower,22.5,12.6
2020-10-26,Kaski,Seti,38.85,Seti Hydropower,22.5,13.93
2020-10-27,Kaski,Seti,42.39,Seti Hydropower,22.5,15.29
2020-10-28,Kaski,Seti,32.26,Seti Hydropower,22.5,12.41
2020-10-29,Kaski,Seti,37.16,Seti Hydropower,22.5,14.31
2020-10-30,Kaski,Seti,33.07,Seti Hydropower,22.5,13.76
2020-10-31,Kaski,Seti,36.09,Seti Hydropower,22.5,13.57
2020-11-01,Kaski,Seti,33.66,Seti Hydropower,22.5,12.19
2020-11-02,Kaski,Seti,37.31,Seti Hydropower,22.5,13.66
2020-11-03,Kaski,Seti,43.2,Seti Hydropower,22.5,15.66
2020-11-04,Kaski,Seti,39.87,Seti Hydropower,22.5,14.68
2020-11-05,Kaski,Seti,44.81,Seti Hydropower,22.5,15.52
2020-11-06,Kaski,Seti,41.9,Seti Hydropower,22.5,15.3
2020-11-07,Kaski,Seti,33.23,Seti Hydropower,22.5,13.13
2020-11-08,Kaski,Seti,35.92,Seti Hydropower,22.5,14.08
2020-11-09,Kaski,Seti,32.08,Seti Hydropower,22.5,13.0
2020-11-10,Kaski,Seti,29.01,Seti Hydropower,22.5,12.38
2020-11-11,Kaski,Seti,28.45,Seti Hydropower,22.5,11.81
2020-11-12,Kaski,Seti,27.81,Seti Hydropower,22.5,11.82
2020-11-13,Kaski,Seti,27.34,Seti Hydropower,22.5,11.27
2020-11-14,Kaski,Seti,31.63,Seti Hydropower,22.5,12.31
2020-11-15,Kaski,Seti,27.68,Seti Hydropower,22.5,12.06
2020-11-16,Kaski,Seti,32.72,Seti Hydropower,22.5,12.9
2020-11-17,Kaski,Seti,27.53,Seti Hydropower,22.5,11.7
2020-11-18,Kaski,Seti,27.5,Seti Hydropower,22.5,11.46
2020-11-19,Kaski,Seti,25.81,Seti Hydropower,22.5,10.73
2020-11-20,Kaski,Seti,28.92,Seti Hydropower,22.5,11.82
2020-11-21,Kaski,Seti,24.76,Seti Hydropower,22.5,11.07
2020-11-22,Kaski,Seti,20.78,Seti Hydropower,22.5,9.48
2020-11-23,Kaski,Seti,26.09,Seti Hydropower,22.5,10.44
2020-11-24,Kaski,Seti,24.64,Seti Hydropower,22.5,10.5
2020-11-25,Kaski,Seti,23.96,Seti Hydropower,22.5,10.92
2020-11-26,Kaski,Seti,27.56,Seti Hydropower,22.5,11.36
2020-11-27,Kaski,Seti,26.59,Seti Hydropower,22.5,10.55
2020-11-28,Kaski,Seti,23.57,Seti Hydropower,22.5,10.82
2020-11-29,Kaski,Seti,21.23,Seti Hydropower,22.5,9.67
2020-11-30,Kaski,Seti,24.62,Seti Hydropower,22.5,10.54
2020-12-01,Kaski,Seti,20.54,Seti Hydropower,22.5,9.14
2020-12-02,Kaski,Seti,23.13,Seti Hydropower,22.5,10.43
2020-12-03,Kaski,Seti,23.52,Seti Hydropower,22.5,10.06
2020-12-04,Kaski,Seti,24.07,Seti Hydropower,22.5,10.75
2020-12-05,Kaski,Seti,21.94,Seti Hydropower,22.5,9.87
2020-12-06,Kaski,Seti,16.54,Seti Hydropower,22.5,7.86
2020-12-07,Kaski,Seti,20.6,Seti Hydropower,22.5,9.3
2020-12-08,Kaski,Seti,20.26,Seti Hydropower,22.5,9.1
2020-12-09,Kaski,Seti,20.4,Seti Hydropower,22.5,9.48
2020-12-10,Kaski,Seti,22.32,Seti Hydropower,22.5,9.58
2020-12-11,Kaski,Seti,17.17,Seti Hydropower,22.5,7.65
2020-12-12,Kaski,Seti,21.74,Seti Hydropower,22.5,9.82
2020-12-13,Kaski,Seti,25.04,Seti Hydropower,22.5,10.9
2020-12-14,Kaski,Seti,19.62,Seti Hydropower,22.5,9.05
2020-12-15,Kaski,Seti,24.17,Seti Hydropower,22.5,10.55
2020-12-16,Kaski,Seti,24.21,Seti Hydropower,22.5,10.34
2020-12-17,Kaski,Seti,23.77,Seti Hydropower,22.5,10.55
2020-12-18,Kaski,Seti,20.39,Seti Hydropower,22.5,9.18
2020-12-19,Kaski,Seti,23.72,Seti Hydropower,22.5,10.14
2020-12-20,Kaski,Seti,24.94,Seti Hydropower,22.5,10.56
2020-12-21,Kaski,Seti,22.42,Seti Hydropower,22.5,10.47
2020-12-22,Kaski,Seti,23.07,Seti Hydropower,22.5,9.56
2020-12-23,Kaski,Seti,21.98,Seti Hydropower,22.5,9.87
2020-12-24,Kaski,Seti,21.23,Seti Hydropower,22.5,9.0
2020-12-25,Kaski,Seti,21.6,Seti Hydropower,22.5,9.57
2020-12-26,Kaski,Seti,21.09,Seti Hydropower,22.5,9.31
2020-12-27,Kaski,Seti,22.65,Seti Hydropower,22.5,9.32
2020-12-28,Kaski,Seti,23.06,Seti Hydropower,22.5,10.19
2020-12-29,Kaski,Seti,19.65,Seti Hydropower,22.5,8.83
2020-12-30,Kaski,Seti,20.83,Seti Hydropower,22.5,8.75
2020-12-31,Kaski,Seti,24.6,Seti Hydropower,22.5,10.83
2021-01-01,Kaski,Seti,21.78,Seti Hydropower,22.5,10.08
2021-01-02,Kaski,Seti,20.64,Seti Hydropower,22.5,9.69
2021-01-03,Kaski,Seti,23.82,Seti Hydropower,22.5,10.43
2021-01-04,Kaski,Seti,23.77,Seti Hydropower,22.5,10.32
2021-01-05,Kaski,Seti,21.62,Seti Hydropower,22.5,9.99
2021-01-06,Kaski,Seti,23.13,Seti Hydropower,22.5,10.61
2021-01-07,Kaski,Seti,24.27,Seti Hydropower,22.5,10.81
2021-01-08,Kaski,Seti,24.7,Seti Hydropower,22.5,10.29
2021-01-09,Kaski,Seti,23.51,Seti Hydropower,22.5,10.28
2021-01-10,Kaski,Seti,28.08,Seti Hydropower,22.5,11.74
